0,1,2,3,4,5,6
Creatina,Probiótica,66.03,53,Sul,2024-02-11,7
Hiper Calórico,Probiótica,155.54,113,Sudeste,2024-01-22,3
Whey,Max Titanium,125.37,95,Centro-Oeste,2024-01-23,8
Creatina,Growth,61.34,50,Sul,2024-02-11,7
Hiper Calórico,Max Titanium,158.14,115,Sul,2024-01-16,1
Creatina,Max Titanium,89.92,55,Norte,2024-02-20,10
Creatina,Growth,57.45,50,Sul,2024-02-02,8
BCAA,Integral Médica,82.39,62,Sul,2024-01-09,10
Pré-Treino,Integral Médica,122.15,72,Norte,2024-02-12,6
Pré-Treino,Dark Lab,131.76,85,Nordeste,2024-01-15,3
Pré-Treino,Dark Lab,144.6,85,Norte,2024-01-03,3
Pré-Treino,Integral Médica,96.83,72,Sudeste,2024-01-17,5
BCAA,Integral Médica,91.74,62,Nordeste,2024-01-23,7
Pré-Treino,Max Titanium,112.11,75,Norte,2024-02-14,3
Pré-Treino,Probiótica,91.71,73,Sudeste,2024-01-22,9
Hiper Calórico,Dark Lab,201.11,120,Norte,2024-01-27,1
BCAA,Growth,77.7,60,Sudeste,2024-02-28,9
Hiper Calórico,Probiótica,161.0,113,Sul,2024-02-20,4
Pré-Treino,Growth,87.02,70,Sudeste,2024-01-01,10
Pré-Treino,Growth,106.81,70,Nordeste,2024-01-20,6
BCAA,Probiótica,88.84,63,Norte,2024-01-22,1
Hiper Calórico,Max Titanium,153.04,115,Nordeste,2024-01-27,3
Pré-Treino,Growth,104.51,70,Nordeste,2024-01-12,8
Pré-Treino,Integral Médica,105.69,72,Centro-Oeste,2024-01-28,7
Creatina,Probiótica,73.15,53,Norte,2024-02-21,10
BCAA,Integral Médica,87.25,62,Sudeste,2024-01-28,2
BCAA,Max Titanium,109.59,65,Norte,2024-01-15,8
Pré-Treino,Dark Lab,107.8,85,Sul,2024-02-24,10
Whey,Probiótica,130.63,93,Norte,2024-01-31,9
Hiper Calórico,Dark Lab,168.23,120,Centro-Oeste,2024-02-18,10
Whey,Max Titanium,135.3,95,Centro-Oeste,2024-02-20,2
Pré-Treino,Probiótica,113.47,73,Nordeste,2024-01-10,7
Hiper Calórico,Dark Lab,175.27,120,Norte,2024-02-03,9
Pré-Treino,Integral Médica,100.35,72,Centro-Oeste,2024-01-18,3
Creatina,Probiótica,70.23,53,Sul,2024-01-15,6
Creatina,Dark Lab,76.98,60,Sul,2024-02-24,1
Whey,Dark Lab,120.31,100,Sul,2024-01-10,1
Hiper Calórico,Max Titanium,155.15,115,Sudeste,2024-02-29,4
Hiper Calórico,Max Titanium,138.56,115,Sul,2024-02-19,5
Creatina,Growth,70.88,50,Nordeste,2024-01-15,1
Hiper Calórico,Max Titanium,159.45,115,Norte,2024-01-13,9
Pré-Treino,Max Titanium,106.78,75,Centro-Oeste,2024-02-22,6
Pré-Treino,Integral Médica,85.19,72,Sul,2024-02-26,2
Whey,Max Titanium,160.07,95,Norte,2024-02-18,1
Hiper Calórico,Probiótica,151.13,113,Sudeste,2024-02-15,6
BCAA,Probiótica,98.68,63,Norte,2024-01-23,8
Whey,Max Titanium,123.15,95,Sul,2024-02-28,3
Hiper Calórico,Integral Médica,141.42,112,Sudeste,2024-01-07,7
BCAA,Growth,72.88,60,Sudeste,2024-01-16,10
Whey,Max Titanium,156.65,95,Nordeste,2024-01-23,10
Pré-Treino,Growth,93.51,70,Centro-Oeste,2024-01-13,9
Hiper Calórico,Dark Lab,189.23,120,Nordeste,2024-01-10,1
Whey,Growth,118.11,90,Sudeste,2024-01-06,2
Whey,Probiótica,130.8,93,Sul,2024-01-05,6
BCAA,Probiótica,83.66,63,Centro-Oeste,2024-02-13,4
